ID,cap,uncap,dcp2_2,Assigned_gene_name
2,4,8,0.3333333333333333,YAL066W
3,126,86,0.5943396226415094,YAL064W-B
13,29,4,0.8787878787878788,YAL062W
14,93,98,0.4869109947643979,YAL062W
15,6,13,0.3157894736842105,YAL062W
19,71,38,0.6513761467889908,YAL061W
23,662,865,0.4335297969875573,YAL060W
25,532,1067,0.33270794246404,YAL059W
27,126,67,0.6528497409326425,YAL058W
28,88,175,0.3346007604562737,YAL056W
29,100,49,0.6711409395973155,YAL055W
33,994,1388,0.417296389588581,YAL053W
36,59,159,0.2706422018348624,YAL051W
39,11,19,0.36666666666666653,YAL044W-A
40,77,47,0.6209677419354839,YAL044W-A
41,1618,2839,0.3630244559120485,YAL044W-A
42,2538,799,0.7605633802816901,YAL042W
46,63,280,0.1836734693877551,YAL041W
51,11,36,0.23404255319148934,YAL038W
52,45067,4775,0.904197263352193,YAL038W
58,21,15,0.5833333333333334,YAL037W
59,56,60,0.4827586206896552,YAL037W
61,1654,688,0.7062339880444065,YAL035W
64,91,212,0.3003300330033004,YAL034W-A
66,758,268,0.7387914230019493,YAL033W
67,310,255,0.5486725663716814,YAL030W
68,27,19,0.5869565217391305,YAL028W
69,146,73,0.6666666666666666,YAL028W
70,187,184,0.5040431266846361,YAL027W
74,545,417,0.5665280665280665,YAL019W
75,301,75,0.8005319148936171,YAL017W
76,12,10,0.5454545454545454,YAL017W
77,26,38,0.40625,YAL017W
78,1098,1290,0.4597989949748744,YAL016W
79,66,165,0.2857142857142857,YAL013W
81,13432,6705,0.6670308387545315,YAL012W
84,83,74,0.5286624203821656,YAL011W
86,186,150,0.5535714285714286,YAL009W
87,336,295,0.5324881141045958,YAL008W
91,31,59,0.34444444444444444,YAL003W
92,11370,5885,0.6589394378441031,YAL003W
96,141,309,0.3133333333333333,YAL002W
98,199,246,0.4471910112359551,YAR002W
99,121,156,0.4368231046931408,YAR003W
100,239,243,0.495850622406639,YAR008W
102,953,943,0.5026371308016878,YAR015W
105,2,1,0.6666666666666666,YAR019W-A
110,32,12,0.7272727272727273,YAR027W
111,260,406,0.3903903903903904,YAR027W
114,298,332,0.473015873015873,YAR028W
115,0,6,0.0,YAR029W
120,332,359,0.4804630969609262,YAR033W
122,3,1,0.75,YAR035W
126,205,141,0.5924855491329479,YAR042W
129,20,31,0.392156862745098,YAR075W
130,171,425,0.28691275167785235,YBL102W
131,23,27,0.46,YBL100W-A
133,2418,2808,0.4626865671641791,YBL099W
134,16,8,0.6666666666666666,YBL099W
135,112,48,0.7,YBL098W
138,61,28,0.6853932584269663,YBL097W
140,277,162,0.6309794988610479,YBL095W
141,14330,13609,0.5129031103475429,YBL092W
146,518,2306,0.18342776203966005,YBL090W
147,259,483,0.3490566037735849,YBL089W
148,133,754,0.14994363021420518,YBL085W
149,844,366,0.6975206611570248,YBL081W
150,1,17,0.05555555555555555,YBL081W
154,448,558,0.4453280318091452,YBL079W
156,2174,1225,0.6395998823183289,YBL071W-A
157,400,216,0.6493506493506493,YBL069W
159,928,787,0.5411078717201167,YBL068W
160,29,68,0.29896907216494845,YBL063W
161,129,85,0.6028037383177571,YBL060W
162,73,63,0.5367647058823529,YBL060W
164,759,460,0.6226415094339622,YBL058W
165,496,433,0.5339074273412271,YBL056W
166,29,23,0.5576923076923077,YBL054W
167,8,7,0.5333333333333333,YBL054W
168,15,64,0.18987341772151897,YBL054W
169,44,210,0.1732283464566929,YBL054W
174,636,1073,0.3721474546518432,YBL050W
175,252,53,0.8262295081967214,YBL049W
176,57,28,0.6705882352941176,YBL049W
178,99,106,0.4829268292682927,YBL046W
180,205,88,0.6996587030716723,YBL043W
182,102,100,0.504950495049505,YBL041W
183,2284,688,0.7685060565275909,YBL041W
185,181,219,0.4525,YBL039W-B
186,30,48,0.38461538461538464,YBL039W-B
187,487,369,0.5689252336448598,YBL038W
188,146,201,0.4207492795389049,YBL037W
190,201,306,0.3964497041420119,YBL032W
191,31,47,0.3974358974358974,YBL031W
192,107,14,0.8842975206611571,YBL029W
194,9606,17684,0.3519970685232686,YBL027W
196,8,19,0.2962962962962963,YBL026W
197,3,0,1.0,YBL026W
198,10,16,0.38461538461538464,YBL026W
199,322,257,0.5561312607944733,YBL026W
200,410,104,0.7976653696498055,YBL025W
201,940,268,0.7781456953642384,YBL024W
202,5,9,0.35714285714285715,YBL020W
203,437,253,0.6333333333333333,YBL020W
205,53,48,0.5247524752475248,YBL019W
206,1,17,0.05555555555555555,YBL016W
207,2,4,0.3333333333333333,YBL016W
208,679,229,0.7477973568281938,YBL016W
210,311,96,0.7641277641277642,YBL015W
213,35,26,0.5737704918032787,YBL013W
215,353,219,0.6171328671328671,YBL011W
217,96,16,0.8571428571428571,YBL009W
218,168,125,0.5733788395904437,YBL008W
220,13,18,0.41935483870967744,YBL006W-A
221,22,35,0.3859649122807017,YBL005W
222,59,63,0.4836065573770492,YBL005W
224,58,106,0.35365853658536583,YBL005W-A
225,63,120,0.3442622950819672,YBL005W-A
229,748,458,0.6202321724709784,YBL004W
230,5351,2604,0.6726587052168448,YBL002W
234,616,360,0.6311475409836066,YBR003W
235,28,26,0.5185185185185185,YBR005W
236,1121,676,0.6238174735670562,YBR005W
237,344,81,0.8094117647058824,YBR005W
239,172,98,0.6370370370370371,YBR006W
248,1054,3480,0.2324658138509043,YBR010W
250,42,61,0.4077669902912621,YBR016W
251,855,707,0.5473751600512163,YBR016W
254,347,137,0.7169421487603306,YBR021W
255,467,286,0.6201859229747676,YBR022W
258,56,85,0.3971631205673759,YBR024W
259,163,149,0.5224358974358975,YBR030W
260,252,198,0.56,YBR030W
261,6046,4049,0.5989103516592372,YBR031W
264,16,10,0.6153846153846154,YBR033W
265,15,12,0.5555555555555556,YBR033W
273,587,621,0.4859271523178808,YBR038W
276,1492,768,0.6601769911504425,YBR039W
278,313,225,0.5817843866171004,YBR041W
286,168,82,0.672,YBR047W
288,22,32,0.4074074074074074,YBR048W
289,28481,10038,0.7394013344063969,YBR048W
293,18,74,0.1956521739130435,YBR051W
298,45,43,0.5113636363636364,YBR054W
299,695,943,0.4242979242979243,YBR054W
301,217,261,0.4539748953974895,YBR056W
305,544,413,0.5684430512016719,YBR056W-A
313,1436,1917,0.4282731881896809,YBR071W
316,7,16,0.3043478260869565,YBR072W
317,4,22,0.15384615384615385,YBR072W
318,248,213,0.5379609544468547,YBR072W
320,924,337,0.7327517842981759,YBR073W
321,506,641,0.4411508282476024,YBR074W
324,3611,6122,0.371005856364944,YBR078W
329,42,45,0.4827586206896552,YBR083W
330,43,46,0.4831460674157304,YBR083W
331,151,489,0.2359375,YBR083W
333,516,377,0.5778275475923852,YBR084W
334,68,70,0.4927536231884058,YBR085W
338,35,17,0.6730769230769231,YBR087W
339,351,129,0.73125,YBR087W
344,89,51,0.6357142857142857,YBR094W
345,313,1882,0.14259681093394078,YBR096W
346,160,93,0.6324110671936759,YBR097W
347,217,89,0.7091503267973857,YBR098W
348,56,55,0.5045045045045045,YBR103W
349,29,34,0.4603174603174603,YBR103W
350,345,231,0.5989583333333334,YBR104W
